,address,city_district,geo_lat,geo_lon
2218,"город Москва, Дмитровское шоссе, дом 98, строение 1",Восточное Дегунино,55.879965,37.547423
2219,"город Москва, Лобненская улица, дом 14",,,
2220,"город Москва, Чуксин тупик, дом 6",Тимирязевский,55.8070294,37.5572775
2221,"город Москва, Дмитровское шоссе, дом 53, корпус 1",Тимирязевский,55.843085,37.568677
2222,"город Москва, Коровинское шоссе, дом 35, строение 2",Западное Дегунино,55.8836384,37.5137158
2223,"город Москва, Дубнинская улица, дом 75А",,,
2224,"город Москва, Тимирязевская улица, дом 21",,,
2225,"город Москва, Дубнинская улица, дом 85",,,
2226,"город Москва, Никольская улица, дом 11-13, строение 1",Тверской,55.7567817,37.6217577
2227,"город Москва, улица Кузнецкий Мост, дом 7",,,
2228,"город Москва, Селезнёвская улица, дом 28, строение 1",Тверской,55.7804041,37.6080796
2229,"город Москва, Сущёвская улица, дом 19, строение 4",Тверской,55.7817903,37.6006802
2230,"город Москва, Никольская улица, дом 17, строение 1",Тверской,55.7577199,37.6230761
2231,"город Москва, Столешников переулок, дом 11",,,
2232,"город Москва, улица Кузнецкий Мост, дом 6/3, строение 3",Тверской,55.7613188,37.6176219
2233,"город Москва, Цветной бульвар, дом 19, строение 5",Тверской,55.771687,37.619656
2234,"город Москва, Сущёвская улица, дом 9, строение 4",Тверской,55.7804606,37.6011827
2235,"город Москва, Цветной бульвар, дом 7, строение 1",Тверской,55.7694024,37.6207099
2236,"город Москва, Новослободская улица, дом 11, строение 1",Тверской,55.7799176,37.6000754
2237,"город Москва, Столешников переулок, дом 12, строение 2",Тверской,55.7627047,37.6141201
2238,"город Москва, улица Петровка, дом 21, строение 2",Тверской,55.7653458,37.6150262
2239,"город Москва, улица Петровка, дом 34, строение 1",Тверской,55.7685906,37.6133896
2240,"город Москва, Цветной бульвар, дом 5",,,
2241,"город Москва, Садовая-Самотёчная улица, дом 18, строение 1",Тверской,55.7731598,37.6187265
2242,"город Москва, Селезнёвская улица, дом 26",Тверской,55.7807386,37.6076226
2243,"город Москва, улица Сущёвский Вал, дом 16, строение 2",Марьина роща,55.7924659,37.6028696
2244,"город Москва, улица Петровка, дом 17, строение 7",Тверской,55.7647327,37.6156583
2245,"город Москва, улица Петровка, дом 22",Тверской,55.7644328,37.6173152
2246,"город Москва, улица Петровка, дом 15, строение 1",Тверской,55.7635666,37.6166351
2247,"город Москва, Новослободская улица, дом 26, строение 1",Тверской,55.7832268,37.5977901
2248,"город Москва, Большой Каретный переулок, дом 20, строение 2",Тверской,55.7719074,37.6164308
2249,"город Москва, Селезнёвская улица, дом 15, строение 2",Тверской,55.780841,37.6078435
2250,"город Москва, Долгоруковская улица, дом 19, строение 7",Тверской,55.7753034,37.6032033
2251,"город Москва, Никольская улица, дом 11-13, строение 5",Тверской,55.7570689,37.6218203
2252,"город Москва, Никольская улица, дом 11-13, строение 3",Тверской,55.7571018,37.6213173
2253,"город Москва, Никольская улица, дом 11-13, строение 2",Тверской,55.7566328,37.6215223
2254,"город Москва, Илимская улица, дом 1, корпус 1",Лианозово,55.8910075,37.5686619
2255,"город Москва, Большая Академическая улица, дом 13А",,,
2256,"город Москва, Селигерская улица, дом 24/1, строение 2",Бескудниковский,55.8682448,37.5504525
2257,"город Москва, Бойцовая улица, дом 6, корпус 8Б",Богородское,55.8098856,37.7209368
2258,"город Москва, Институтский переулок, дом 2",,,
2259,"город Москва, улица Образцова, дом 31, строение 3",Марьина роща,55.7923975,37.6089916
2260,"город Москва, улица Плещеева, дом 16А",Бибирево,55.8862039,37.6146942
2261,"город Москва, Бибиревская улица, дом 6, корпус 1",Алтуфьевский,55.8805106,37.598985
2262,"город Москва, улица Добролюбова, дом 20А",Бутырский,55.8172129,37.594324
2263,"город Москва, Новодмитровская улица, дом 5А, строение 1",Бутырский,55.80649,37.5881581
2264,"город Москва, Огородный проезд, дом 14",,,
2265,"город Москва, Большой Каретный переулок, дом 22, строение 6",Тверской,55.7724452,37.6180105
2266,"город Москва, улица Достоевского, дом 25, строение 1",Тверской,55.7837429,37.6068488
2267,"город Москва, 3-й Самотёчный переулок, дом 14, строение 1",Тверской,55.7797251,37.6141453
2268,"город Москва, Сущёвская улица, дом 32",,,
2269,"город Москва, Долгоруковская улица, дом 6, строение 2",Тверской,55.7758157,37.6049159
2270,"город Москва, Новослободская улица, дом 57, строение 1",Тверской,55.7868155,37.5921741
2271,"город Москва, улица Малая Дмитровка, дом 6, строение 1",Тверской,55.7676916,37.6078367
2272,"город Москва, улица Малая Дмитровка, дом 14А, строение 5",Тверской,55.770051,37.6075265
2273,"город Москва, улица Петровские Линии, дом 2",,,
2274,"город Москва, улица Каретный Ряд, дом 2",,,
2275,"город Москва, Цветной бульвар, дом 11, строение 2",Тверской,55.7699727,37.6204537
2276,"город Москва, улица Каретный Ряд, дом 3, строение 7",Тверской,55.7703461,37.6091595
2277,"город Москва, улица Петровка, дом 10",,,
2278,"город Москва, Лесная улица, дом 20, строение 2",Тверской,55.7790311,37.5917923
2279,"город Москва, Цветной бульвар, дом 11, строение 3",Тверской,55.7697705,37.6208337
2280,"город Москва, Неглинная улица, дом 15, строение 1",Тверской,55.7629165,37.6198136
2281,"город Москва, Столешников переулок, дом 7, строение 1",Тверской,55.7630371,37.614344
2282,"город Москва, улица Кузнецкий Мост, дом 3, строение 2",Тверской,55.7616124,37.6170728
2283,"город Москва, Новослободская улица, дом 73, строение 1",Тверской,55.7904262,37.5897266
2284,"город Москва, Садовая-Самотёчная улица, дом 13, строение 1",Тверской,55.7739499,37.6177305
2285,"город Москва, Тихвинская улица, дом 39, строение 2",Тверской,55.7919177,37.5984689
2286,"город Москва, Селезнёвская улица, дом 11А, строение 2",Тверской,55.7811441,37.603712
2287,"город Москва, Лесная улица, дом 43",,,
2288,"город Москва, Страстной бульвар, дом 10, строение 1",Тверской,55.7660088,37.6103095
2289,"город Москва, улица Малая Дмитровка, дом 20",Тверской,55.77191,37.6053066
2290,"город Москва, улица Петровка, дом 25, строение 1",Тверской,55.7665445,37.6147291
2291,"город Москва, улица Декабристов, дом 8",,,
2292,"город Москва, Ясный проезд, дом 10, корпус 3",Южное Медведково,55.8762852,37.6291663
2293,"город Москва, Ясный проезд, дом 24, корпус 4",Южное Медведково,55.8768536,37.6246981
2294,"город Москва, Ясный проезд, дом 10А",Южное Медведково,55.8758718,37.6302229
2295,"город Москва, Широкая улица, дом 6",,,
2296,"город Москва, Полярная улица, дом 10, строение 1",Южное Медведково,55.8744355,37.6381881
2297,"город Москва, улица Санникова, дом 17, строение 2",Отрадное,55.8629337,37.5987907
2298,"город Москва, Северный бульвар, дом 7Б",Отрадное,55.8675317,37.6063993
2299,"город Москва, улица Фонвизина, дом 17",,,
2300,"город Москва, Костромская улица, дом 14Б",Алтуфьевский,55.8847067,37.5984782
2301,"город Москва, Алтуфьевское шоссе, дом 16",,,
2302,"город Москва, Ясный проезд, дом 26, корпус 2",Южное Медведково,55.8755478,37.622117
2303,"город Москва, Новослободская улица, дом 18",,,
2304,"город Москва, Петровский переулок, дом 3, строение 1",Тверской,55.766171,37.6120943
