,address,city_area,city_district,geo_lat,geo_lon,street_with_type,location
3017,"город Москва, Красноказарменная улица, дом 17, строение 6",Юго-восточный,Лефортово,55.7560324,37.7100638,ул Красноказарменная,
3018,"город Москва, шоссе Энтузиастов, дом 5, строение 1",Юго-восточный,Лефортово,55.7487691,37.6960214,шоссе Энтузиастов,
3019,"город Москва, Красноказарменная улица, дом 6",,Лефортово,,,ул Красноказарменная,Лефортово
3020,"город Москва, Костомаровская набережная, дом 29, строение 1",Центральный,Таганский,55.7503316,37.6686196,Костомаровская наб,
3021,"город Москва, 1-й Краснокурсантский проезд, дом 1/4",,Лефортово,,,проезд Краснокурсантский 1-й,Лефортово
3022,"город Москва, Мрузовский переулок, дом 11, строение 1",Центральный,Басманный,55.7574805,37.667392,Мрузовский пер,
3023,"город Москва, улица Радио, дом 10А, строение 1",Центральный,Басманный,55.7630755,37.6754474,ул Радио,
3024,"город Москва, улица Маросейка, дом 10/1, строение 2",Центральный,Басманный,55.7574628,37.6374834,ул Маросейка,
3025,"город Москва, Школьная улица, дом 13",,Таганский,,,ул Школьная,Таганский
3026,"город Москва, Петроверигский переулок, дом 4, строение 1",Центральный,Басманный,55.7568288,37.636571,Петроверигский пер,
3027,"город Москва, Большой Спасоглинищевский переулок, дом 4",,Москва,,,пер Спасоглинищевский Б.,Москва
3028,"город Москва, улица Покровка, дом 10, строение 5",Центральный,Басманный,55.7586652,37.6444292,ул Покровка,
3029,"город Москва, Большой Трёхсвятительский переулок, дом 4",,Басманный,,,пер Трехсвятительский Б.,Басманный
3030,"город Москва, Лялин переулок, дом 12, строение 1",Центральный,Басманный,55.7588849,37.6514607,Лялин пер,
3031,"город Москва, Большой Казённый переулок, дом 9",Центральный,Басманный,55.7604149,37.655647,пер Казенный Б.,
3032,"город Москва, Таможенный проезд, дом 4",,Лефортово,,,Таможенный проезд,Лефортово
3033,"город Москва, Солдатская улица, дом 6А",Юго-восточный,Лефортово,55.7648449,37.7013584,ул Солдатская,
3034,"город Москва, Верхний Золоторожский переулок, дом 2",Юго-восточный,Лефортово,55.7504399,37.679373,пер Золоторожский Верхн.,
3035,"город Москва, 5-я Кабельная улица, дом 1, строение 1",Юго-восточный,Лефортово,55.7389687,37.7163209,ул Кабельная 5-я,
3036,"город Москва, 5-я Кабельная улица, дом 2, строение 1",Юго-восточный,Лефортово,55.7376323,37.7168576,ул Кабельная 5-я,
3037,"город Москва, Авиамоторная улица, дом 30А, корпус 1",Юго-восточный,Лефортово,55.7445557,37.7191863,ул Авиамоторная,
3038,"город Москва, Авиамоторная улица, дом 42",Юго-восточный,Лефортово,55.7405401,37.7203264,ул Авиамоторная,
3039,"город Москва, Шепелюгинская улица, дом 21/13, строение 1",Юго-восточный,Лефортово,55.7452312,37.7036695,ул Шепелюгинская,
3040,"город Москва, Лонгиновская улица, дом 6",,Лефортово,,,ул Лонгиновская,Лефортово
3041,"город Москва, Солдатская улица, дом 14",Юго-восточный,Лефортово,55.7631258,37.7049176,ул Солдатская,
3042,"город Москва, Самокатная улица, дом 2, строение 1",Юго-восточный,Лефортово,55.7581343,37.6768993,ул Самокатная,
3043,"город Москва, Авиамоторная улица, дом 36",,Лефортово,,,ул Авиамоторная,Лефортово
3044,"город Москва, улица Пречистенка, дом 16/2",,Москва,,,ул Пречистенка,Москва
3045,"город Москва, Зубовский бульвар, дом 21-23, строение 1",Центральный,Хамовники,55.7360028,37.5901342,Зубовский б-р,
3046,"город Москва, улица Тимура Фрунзе, дом 11, строение 19",Центральный,Хамовники,55.7356889,37.5866647,ул Тимура Фрунзе,
3047,"город Москва, Несвижский переулок, дом 3",Центральный,Хамовники,55.7318359,37.5879883,Несвижский пер,
3048,"город Москва, Малая Пироговская улица, дом 29/7, строение 1",Центральный,Хамовники,55.726162,37.5619296,ул Пироговская М.,
3049,"город Москва, улица Остоженка, дом 53/2, строение 1",Центральный,Хамовники,55.7353561,37.5953894,ул Остоженка,
3050,"город Москва, Зубовский бульвар, дом 17, строение 1",Центральный,Хамовники,55.7362108,37.5907954,Зубовский б-р,
3051,"город Москва, Большой Саввинский переулок, дом 9, строение 2",Центральный,Хамовники,55.7351084,37.5697412,пер Саввинский Б.,
3052,"город Москва, Зубовский бульвар, дом 22/39",Центральный,Хамовники,55.7385097,37.5873696,Зубовский б-р,
3053,"город Москва, Курсовой переулок, дом 1",,Москва,,,Курсовой пер,Москва
3054,"город Москва, улица Льва Толстого, дом 5, строение 1",Центральный,Хамовники,55.7322358,37.5888902,ул Льва Толстого,
3055,"город Москва, улица Остоженка, дом 38, строение 1",Центральный,Хамовники,55.7391621,37.5940054,ул Остоженка,
3056,"город Москва, улица Россолимо, дом 11, строение 1",Центральный,Хамовники,55.734723,37.581505,ул Россолимо,
3057,"город Москва, Комсомольский проспект, дом 42, строение 2",Центральный,Хамовники,55.721744,37.5729822,Комсомольский пр-кт,
3058,"город Москва, Комсомольский проспект, дом 42, строение 3",Центральный,Хамовники,55.7213983,37.572528,Комсомольский пр-кт,
